Date,EUR= (BID),EURCNH= (BID),HBEHBEA (TRDPRC_1),HBEHBEAOTC (TRDPRC_1),EURCNY= (BID),
22/10/2015,1.1106,7.0937,,,7.0541,
23/10/2015,1.1014,7.0465,,,6.9879,
26/10/2015,1.1056,7.0642,,,7.0157,
27/10/2015,1.1048,7.0624,,,7.0058,
28/10/2015,1.092,6.9778,,,7.0303,
29/10/2015,1.0976,6.9683,,,6.9655,
30/10/2015,1.1005,6.9535,,,6.9446,
02/11/2015,1.1013,6.9881,,,6.9709,
03/11/2015,1.0966,6.9543,,,6.9391,
04/11/2015,1.0862,6.8998,,,6.8749,
05/11/2015,1.0881,6.9343,,,6.9033,
06/11/2015,1.0738,6.8675,,,6.8132,
09/11/2015,1.0749,6.8693,,,6.8365,
10/11/2015,1.0723,6.8546,,,6.8133,
11/11/2015,1.0743,6.8604,,,6.8353,
12/11/2015,1.0817,6.9103,,,6.8777,
13/11/2015,1.0777,6.8858,,,6.8509,
16/11/2015,1.0684,6.8375,,,6.7985,
17/11/2015,1.0641,6.8221,,,6.7887,
18/11/2015,1.0658,6.839,,,6.7953,
19/11/2015,1.0732,6.872,,,6.8428,
20/11/2015,1.0643,6.8332,,,6.7865,
23/11/2015,1.0634,6.8344,,,6.7853,
24/11/2015,1.064,6.8375,,,6.7891,
25/11/2015,1.0626,6.8231,,,6.7769,
26/11/2015,1.0609,6.8251,,,6.78,
27/11/2015,1.059,6.8327,,,6.7654,
30/11/2015,1.0563,6.7855,,,6.7496,
01/12/2015,1.0631,6.853,,,6.7948,
02/12/2015,1.0611,6.8424,,,6.7839,
03/12/2015,1.0938,7.0203,,,6.9882,
04/12/2015,1.0884,7.0092,,,6.9563,
07/12/2015,1.0835,7.0122,,,6.9336,
08/12/2015,1.0893,7.0654,,,6.9885,
09/12/2015,1.1025,7.1667,,,7.0778,
10/12/2015,1.094,7.1051,,,7.0313,
11/12/2015,1.0987,7.176,,,7.0866,
14/12/2015,1.099,7.2018,,,7.0887,
15/12/2015,1.0927,7.1373,,,7.0509,
16/12/2015,1.0911,7.1162,,,7.0524,
17/12/2015,1.0825,7.107,,,7.0118,
18/12/2015,1.0865,7.1208,,,7.0318,
21/12/2015,1.0912,7.1448,,,7.0628,
22/12/2015,1.0954,7.1539,,,7.0914,
23/12/2015,1.0909,7.1371,,,7.0654,
24/12/2015,1.0969,7.176,,,7.0946,
25/12/2015,1.0973,7.1749,,,7.1064,
